County,Center Latitude,Center Longitude,Calcium Carbonate,Gypsum,Soil Health Organic Matter,Percent Clay,Percent Sand,Percent Silt,Available Water Storage
Alachua_FL001,29.67574,-82.357221,0,0,1.70838,10.8935,74.412,6.1984,19.42943
Baker_FL003,30.324442,-82.302284,0,0,3.83871,14.385,73.8465,6.5602,25.33821
Bay_FL005,30.237563,-85.631348,0,0,2.26742,4.3747,77.4634,3.47,14.62651
Bradford_FL007,29.946934,-82.166796,0,0,4.24025,11.1709,72.1361,6.5185,25.8928
Brevard_FL009,28.298276,-80.700384,0.49,0,5.84188,6.6355,60.4757,3.9803,14.07245
Broward_FL606,26.19352,-80.476658,0.315,0,14.07519,2.114,66.5637,2.2344,11.96259
Calhoun_FL013,30.388801,-85.197916,0,0,3.82037,17.7771,68.3599,12.1665,24.38791
Charlotte_FL015,26.868826,-81.940858,0.034,0,1.32588,5.1124,67.3246,3.8777,13.77001
Citrus_FL017,28.843628,-82.524796,0.004,0,3.71466,3.0346,69.8954,1.586,12.87896
Clay_FL019,29.987116,-81.858147,0,0,2.02717,4.3196,81.0598,3.1258,14.28621
Collier_FL621,26.118713,-81.400884,1.892,0,6.74249,5.158,80.6322,5.5258,17.33333
Columbia_FL023,30.221305,-82.623127,0,0,1.54874,10.1307,83.6042,4.8266,20.10881
DeSoto_FL027,27.190581,-81.806253,0.072,0,1.73458,4.8592,91.5629,2.7839,20.44054
Dixie_FL029,29.580899,-83.195666,0.008,0,1.67382,6.5802,85.1269,2.6921,17.61377
Duval_FL031,30.335245,-81.648113,0,0,3.37915,8.6699,57.7153,4.4432,21.02384
Escambia_FL033,30.611664,-87.33904,0,0,6.177,10.1146,57.0835,8.9811,18.52059
Flagler_FL035,29.474894,-81.286362,0.184,0,3.58142,9.5997,76.8916,5.6586,21.82376
Franklin_FL037,29.810176,-84.799174,0.056,0,3.50314,5.5009,54.8069,5.5916,13.77025
Gadsden_FL039,30.57917,-84.612783,0,0,0.86606,13.6657,74.0994,7.2413,19.92964
Gilchrist_FL041,29.723456,-82.795801,0,0,1.00136,5.4464,89.3113,2.9373,15.70688
Glades_FL043,26.95481,-81.19082,0.111,0,2.84684,3.1713,71.0614,2.0822,13.78188
Gulf_FL045,29.907257,-85.256537,0,0,4.36234,14.5036,59.6291,8.773,21.0897
Hamilton_FL047,30.491102,-82.951049,0.168,0,1.91939,10.2773,82.5945,5.548,18.60928
Hardee_FL049,27.492846,-81.82158,0.205,0,1.6063,6.2697,90.2019,3.0233,18.78535
Hendry_FL051,26.53934,-81.151584,0.269,0,4.22793,6.2027,84.0197,4.2807,14.756
Hernando_FL053,28.567911,-82.464835,0.108,0,1.9702,8.5539,67.0192,3.7308,14.96201
Highlands_FL055,27.342627,-81.340921,0.016,0,4.6966,3.6527,85.1599,2.327,17.51911
Hillsborough_FL057,27.90659,-82.349568,0.165,0,0.67388,3.8575,78.0596,1.6937,15.42435
Holmes_FL059,30.866222,-85.812959,0,0,0.48005,19.1281,69.9683,9.226,18.89542
IndianRiver_FL061,27.700638,-80.574803,0.196,0,9.84365,6.4812,68.2178,4.4138,23.97965
Jackson_FL063,30.787812,-85.210374,0,0,1.40548,20.0042,66.7082,9.1085,20.19335
Jefferson_FL065,30.424558,-83.890859,0,0,1.33127,15.8976,74.0669,6.2411,20.22765
Lafayette_FL067,29.990066,-83.17851,0.027,0,2.77302,7.6164,86.2156,5.2777,20.84369
Lake_FL607,28.764113,-81.712282,0,0,7.79985,5.06,68.4046,2.2557,16.34163
Lee_FL071,26.552134,-81.89225,0.048,0,1.37017,2.9638,55.4663,2.3737,9.56925
Leon_FL073,30.45931,-84.2778,0,0,3.17313,14.4954,72.5519,7.4427,22.09912
Levy_FL075,29.284409,-82.783483,0,0,1.9183,8.0377,79.1825,3.587,13.96288
Liberty_FL077,30.259849,-84.868581,0,0,1.33301,10.6553,81.2427,6.5947,20.29841
Madison_FL079,30.447228,-83.470437,0,0,11.2256,10.6651,82.73,5.6093,22.61022
Manatee_FL081,27.481386,-82.365784,0.167,0,1.70519,5.6961,77.1356,2.7542,15.83548
Marion_FL608,29.202805,-82.0431,0,0,2.23378,13.5854,77.7463,3.8256,17.80025
Martin_FL085,27.079954,-80.398211,0.145,0,1.60875,4.3797,59.418,3.1112,12.41442
MiamiDade_FL686,25.610494,-80.499045,27.064,0,13.55274,6.611,14.6107,26.3724,10.56542
Monroe_FL687,25.601043,-81.206777,8.683,0,11.15524,1.8007,5.7203,6.3799,7.87537
Nassau_FL089,30.605926,-81.764929,0,0,4.86312,15.2047,65.6075,8.0774,24.6124
Okaloosa_FL091,30.665858,-86.594194,0,0,3.67718,9.1255,70.3595,7.6366,17.10654
Okeechobee_FL093,27.385592,-80.887388,0.123,0,1.44541,3.3525,81.4962,1.4815,17.41658
Orange_FL095,28.514435,-81.323295,0.022,0,3.15353,3.7694,81.2646,2.1654,16.49624
Osceloa_FL097,28.059027,-81.139312,0.031,0,3.77152,3.4319,82.0385,1.7491,18.24636
PalmBeach_FL611,26.645763,-80.448673,0.046,0,32.45343,1.6405,36.3134,1.1553,31.55037
Pasco_FL101,28.302024,-82.455707,0.778,0,1.13697,6.3676,78.0083,3.8184,14.55057
Pinellas_FL103,27.903122,-82.739518,0.262,0,0.60295,1.338,41.9382,0.6249,6.77495
