name_x,DateD,Key,imgnum,Sinkhole,Group,ID,lon_t,lat_t_x,geometry,AnnualCrop,Forest,HerbaceousVegetation,Highway,Industrial,Pasture,PermanentCrop,Residential,River,SeaLake,prediction,prediction_name,l25,l50,l75,l100,l150,l200,l250,l300,l500,l750,l1000,l1000plus,coloc,Y25,Y50,Y75,Y100,Y150,Y200,Y250,Y300,Y500,Y750,Y1000,Y1000plus,Ycoloc,Key_ws,ws_name,lon_w,lat_w,County,Calcium Carbonate,Gypsum,Soil Health Organic Matter,Percent Clay,Percent Sand,Percent Silt,Available Water Storage,rolling_7_precip,rolling_15_precip,rolling_30_precip,rolling_60_precip,rolling_90_precip,y1_mean_prc,y1_max_prc,y1_mean_tmp,y1_max_tmp,y1_min_tmp,y2_mean_prc,y2_max_prc,y2_mean_tmp,y2_max_tmp,y2_min_tmp,y3_mean_prc,y3_max_prc,y3_mean_tmp,y3_max_tmp,y3_min_tmp,gridcode
2999-2021-05-11-2021-07-10-6.02-0.tif,2021-07-10,2999_1_0,0,1,0,2999,-82.5635044221544,28.8019518967817,"POLYGON ((-82.56658321469234 28.798910030530916, -82.56658321469234 28.805018574462927, -82.56047467076033 28.805018574462927, -82.56047467076033 28.798910030530916, -82.56658321469234 28.798910030530916))",3.4150675e-20,1.6713883e-13,2.6470048e-13,1.6855034e-09,0.98977286,1.0405812000000001e-17,1.670002e-17,0.010227149,4.086063e-08,1.8328804e-12,4,Industrial,3,9,19,31,50,66,72,79,171,251,310,3879,0,76,264,565,782,1268,1693,1844,2028,4599,6762,8512,97429,0,720655_00235,CRYSTAL RIVER AIRPORT,-82.567,28.867,Citrus_FL017,0.004,0,3.71466,3.0346,69.8954,1.586,12.87896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0772602739726,85.1,41.5,0.0,0.0,70.74465753424658,88.2,44.1,0.0,0.0,67.42794520547945,83.7,36.6,1
1077-2021-02-20-2021-04-21-6.02-0.tif,2021-04-21,1077_1_0,0,1,0,1077,-84.7954400067036,30.5253799972118,"POLYGON ((-84.79844753808729 30.522327903114217, -84.79844753808729 30.52843644704623, -84.79242882568369 30.52843644704623, -84.79242882568369 30.522327903114217, -84.79844753808729 30.522327903114217))",1.5043317e-16,1.6125945e-06,0.9994597,1.0708768e-06,0.0001481411,4.4125803000000005e-16,1.1118105e-13,4.5202395e-08,3.590609e-07,0.0003892096,2,HerbaceousVegetation,0,0,0,0,0,0,0,0,1,1,1,3871,0,0,0,0,0,0,0,0,0,72,72,72,96573,0,722140_93805,TALLAHASSEE REGIONAL AIRPORT,-84.353,30.393,Gadsden_FL039,0.0,0,0.86606,13.6657,74.0994,7.2413,19.92964,2.45,3.1700000000000004,3.96,8.3,10.79,0.113917808219178,2.67,70.65835616438356,86.1,38.0,0.210986301369863,5.81,69.13972602739726,87.8,40.3,0.1578904109589041,5.39,68.29424657534247,86.7,32.4,1
3288-2021-03-31-2021-05-30-6.02-0.tif,2021-05-30,3288_1_0,0,1,0,3288,-81.4766800043197,27.5151299922745,"POLYGON ((-81.47971155243613 27.5120733860297, -81.47971155243613 27.518181929961713, -81.47360300850411 27.518181929961713, -81.47360300850411 27.5120733860297, -81.47971155243613 27.5120733860297))",2.1756669e-13,1.6872376e-05,0.088594295,0.002521187,0.8941931,5.31973e-16,2.109793e-11,9.605558e-05,1.6727644e-06,0.014576789,4,Industrial,0,0,0,0,1,6,6,6,8,10,14,3873,0,0,0,0,0,20,90,90,90,126,147,211,96938,0,999999_92827,SEBRING 23 SSE               ,-81.369,27.153,Highlands_FL055,0.016,0,4.6966,3.6527,85.1599,2.327,17.51911,5.889999999999999,8.599999999999998,8.999999999999998,11.26,11.31,0.1322739726027397,2.48,73.36630136986301,84.4,43.3,0.1335616438356164,3.03,72.87534246575342,83.1,46.9,0.1702739726027397,7.09,72.76712328767124,84.2,42.4,1
547-2021-06-08-2021-08-07-6.02-0.tif,2021-08-07,547_1_0,0,1,0,547,-81.8884895149059,28.147808045951,"POLYGON ((-81.89149927867652 28.144756840635083, -81.89149927867652 28.150865384567094, -81.88548056627292 28.150865384567094, -81.88548056627292 28.144756840635083, -81.89149927867652 28.144756840635083))",3.1819218e-07,0.033526506,0.0070335246,0.005281017,5.836476e-05,1.3898811e-11,1.2262489e-09,2.7102416e-08,0.06340851,0.89069176,9,SeaLake,0,0,0,0,0,1,2,5,14,37,60,3880,0,0,0,0,0,0,47,109,194,436,1257,1994,97737,0,747931_12876,WINTER HAVEN'S GILBERT APT,-81.754,28.062,Polk_FL105,0.924,0,4.98813,8.7499,78.6846,3.2609,18.52683,0.82,2.54,6.38,10.4,15.45,0.1148219178082191,2.21,75.28876712328767,87.4,44.9,0.1512328767123287,3.5,74.91835616438357,87.7,49.0,0.1415068493150685,6.21,73.24191780821918,85.4,40.2,1
1074-2021-05-10-2021-07-09-6.02-0.tif,2021-07-09,1074_1_0,0,1,0,1074,-82.1618849879474,29.2081846058225,"POLYGON ((-82.1649464511625 29.205128202009764, -82.1649464511625 29.211236745941775, -82.15883790723049 29.211236745941775, -82.15883790723049 29.205128202009764, -82.1649464511625 29.205128202009764))",3.3731386e-08,0.018763034,0.002888078,0.00025807612,0.0074592573,1.7625712e-14,3.030541e-10,2.3985902e-10,0.023477716,0.9471537,9,SeaLake,7,12,12,15,24,43,58,77,152,210,260,3879,0,6,24,24,86,241,767,1149,1377,3206,4376,5258,97427,0,722055_12861,OCALA INTERNATIONAL AIRPORT-J,-82.233,29.167,Marion_FL608,0.0,0,2.23378,13.5854,77.7463,3.8256,17.80025,0.14,0.23,1.12,5.29,9.05,0.0846723646723646,1.68,71.47013698630137,85.5,41.3,0.1258659217877095,5.27,71.31178082191782,86.5,42.7,0.1205337078651685,2.66,69.8,83.4,34.7,2
558-2022-01-20-2022-03-21-6.02-0.tif,2022-03-21,558_1_0,0,1,0,558,-81.3247800190611,28.6615999405343,"POLYGON ((-81.32780643789152 28.658593183151446, -81.32780643789152 28.664611895555048, -81.32169789395951 28.664611895555048, -81.32169789395951 28.658593183151446, -81.32780643789152 28.658593183151446))",1.9803024e-06,0.049873333,7.1288436e-05,4.923717e-08,7.1642486e-13,3.853189e-15,1.6072359e-10,3.5210639e-12,0.048583,0.9014704,9,SeaLake,0,1,3,7,13,22,25,31,109,194,243,3931,0,0,51,162,290,588,836,973,1221,3814,6380,7901,100199,0,722053_12841,EXECUTIVE AIRPORT,-81.333,28.545,Orange_FL095,0.022,0,3.15353,3.7694,81.2646,2.1654,16.49624,0.02,0.03,0.98,3.33,3.78,0.164986301369863,2.49,75.01890410958904,88.2,45.4,0.1530958904109589,4.1,74.76767123287671,87.7,43.9,0.1425753424657534,3.84,73.81424657534245,85.7,47.2,1
2009-2021-05-08-2021-07-07-6.02-0.tif,2021-07-07,2009_1_0,0,1,0,2009,-83.2110943158663,30.0858795413884,"POLYGON ((-83.2141787030141 30.082872066122945, -83.2141787030141 30.088890778526547, -83.20807015908208 30.088890778526547, -83.20807015908208 30.082872066122945, -83.2141787030141 30.082872066122945))",4.940508e-10,1.4305899e-13,2.1527703e-05,0.0010338931,0.99737525,2.0828341e-13,7.860895e-07,8.397241e-11,1.2201579e-06,0.0015672691,4,Industrial,0,0,0,0,0,0,1,4,10,13,27,3879,0,0,0,0,0,0,0,8,71,144,168,588,97407,0,994650_99999,KEATON BEACH,-83.59,29.82,Lafayette_FL067,0.027,0,2.77302,7.6164,86.2156,5.2777,20.84369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.08054794520548,85.6,39.4,0.0,0.0,63.81342465753425,85.3,32.2,0.0,0.0,70.32931506849316,85.6,36.3,1
3931-2021-06-07-2021-08-06-6.02-0.tif,2021-08-06,3931_1_0,0,1,0,3931,-82.6884947220943,28.2162802503805,"POLYGON ((-82.69153887071337 28.21320846528499, -82.69153887071337 28.219317009217, -82.68543032678136 28.219317009217, -82.68543032678136 28.21320846528499, -82.69153887071337 28.21320846528499))",3.8326620000000003e-17,7.891841e-08,1.4030608e-07,7.911174e-05,0.9998603,2.901391e-16,4.0084956e-11,2.665607e-08,5.979988e-05,5.738303e-07,4,Industrial,0,1,2,3,6,18,27,34,77,167,244,3880,0,0,18,23,41,107,508,694,940,2067,4459,6825,97723,0,994008_99999,FRED HOWARD PARK,-82.8,28.12,Pasco_FL101,0.778,0,1.13697,6.3676,78.0083,3.8184,14.55057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.2972602739726,87.0,44.0,0.0,0.0,69.76328767123287,87.5,38.9,0.0,0.0,73.95561643835616,88.1,41.8,2
2344-2020-08-10-2020-10-09-6.02-0.tif,2020-10-09,2344_1_0,0,1,0,2344,-85.1121996269074,30.7568194796624,"POLYGON ((-85.11528333879625 30.753733920303407, -85.11528333879625 30.75984246423542, -85.10917479486423 30.75984246423542, -85.10917479486423 30.753733920303407, -85.11528333879625 30.753733920303407))",3.1262807e-08,0.6959411,0.29538286,1.8064173e-05,0.006281346,1.0154009e-14,1.238152e-05,6.736393e-09,0.001964461,0.00039976137,1,Forest,0,0,0,0,0,1,1,1,4,16,26,3860,0,0,0,0,0,0,2,2,2,42,177,325,94744,0,747760_03818,MARIANNA MUNICIPAL AIRPORT,-85.184,30.836,Jackson_FL063,0.0,0,1.40548,20.0042,66.7082,9.1085,20.19335,0.0,0.0,0.0,1.2999999999999998,5.04,0.1466301369863013,6.66,69.4931506849315,86.5,38.4,0.1371780821917808,5.66,68.59287671232877,86.0,31.3,0.1606849315068493,7.63,69.92849315068493,85.8,33.9,1
3294-2022-01-02-2022-03-03-6.02-0.tif,2022-03-03,3294_1_0,0,1,0,3294,-85.8789190500549,30.9516590962925,"POLYGON ((-85.88199543379226 30.94857850542893, -85.88199543379226 30.954687049360942, -85.87588688986024 30.954687049360942, -85.87588688986024 30.94857850542893, -85.88199543379226 30.94857850542893))",4.4022849e-16,1.2993197e-11,1.205757e-10,0.051740933,0.9407757,9.7748076e-14,4.343899e-16,1.2004866e-09,0.007483398,8.087732e-09,4,Industrial,0,0,0,0,0,0,0,0,0,0,0,3929,0,0,0,0,0,0,0,0,0,0,0,0,99875,0,999999_63871,TRI-COUNTY AIRPORT,-85.601,30.846,Holmes_FL059,0.0,0,0.48005,19.1281,69.9683,9.226,18.89542,1.21,2.49,7.08,10.28,13.12,0.1688950276243093,10.06,68.28027397260274,85.6,35.7,0.0927450980392156,1.67,68.42356164383561,91.7,35.9,0.1533518005540166,5.66,67.96438356164384,84.6,38.6,1
